Fecha,Productos,Unidad de medida (Mayorista),Equiv. (kg./lt) (Mayorista),Mayorista - Precio Min.,Mayorista - Precio Prom.,Mayorista - Precio Max.,Unidad de medida (Minorista),Equiv. (kg./lt) (Minorista),Minorista - Precio Min.,Minorista - Precio Prom.,Minorista - Precio Max.
13/06/2026 06:23:40,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.66,2.8,2.94
13/06/2026 06:44:55,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.11,5.38,5.65
13/06/2026 07:33:42,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.5,3.68,3.86
13/06/2026 07:59:55,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.55,4.79,5.03
13/06/2026 08:05:16,Zanahoria,Saco,50.0,2.25,2.37,2.49,Kilogramo,1.0,3.61,3.8,3.99
13/06/2026 08:17:49,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.57,2.71,2.85
13/06/2026 09:01:15,Tomate,Cajón,20.0,2.39,2.52,2.65,Kilogramo,1.0,4.27,4.5,4.73
13/06/2026 09:02:34,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.45,2.58,2.71
13/06/2026 09:17:58,Papa,Saco,50.0,1.69,1.78,1.87,Kilogramo,1.0,2.38,2.5,2.62
13/06/2026 09:29:27,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.41,2.54,2.67
13/06/2026 10:10:16,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,4.02,4.23,4.44
13/06/2026 10:59:19,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.86,4.06,4.26
13/06/2026 11:02:16,Tomate,Cajón,20.0,2.72,2.86,3.0,Kilogramo,1.0,4.27,4.5,4.73
13/06/2026 11:02:46,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.04,4.25,4.46
13/06/2026 11:07:21,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.34,4.57,4.8
13/06/2026 11:26:19,Choclo,Ciento,40.0,2.91,3.06,3.21,Kilogramo,1.0,4.75,5.0,5.25
13/06/2026 11:36:44,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.32,2.44,2.56
13/06/2026 11:41:51,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,3.77,3.97,4.17
13/06/2026 12:05:09,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.73,4.98,5.23
13/06/2026 12:10:13,Choclo,Ciento,40.0,2.78,2.93,3.08,Kilogramo,1.0,4.75,5.0,5.25
13/06/2026 12:22:07,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.68,2.82,2.96
13/06/2026 12:34:38,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.55,2.68,2.81
13/06/2026 12:37:51,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.35,4.58,4.81
13/06/2026 12:42:29,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.41,3.59,3.77
13/06/2026 13:03:36,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.46,4.7,4.94
13/06/2026 13:23:16,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.42,3.6,3.78
13/06/2026 13:30:31,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.02,4.23,4.44
13/06/2026 13:58:16,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.2,4.42,4.64
13/06/2026 14:05:08,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,3.77,3.97,4.17
13/06/2026 14:25:10,Tomate,Cajón,20.0,2.41,2.54,2.67,Kilogramo,1.0,4.27,4.5,4.73
13/06/2026 14:41:08,Choclo,Ciento,40.0,2.94,3.09,3.24,Kilogramo,1.0,4.75,5.0,5.25
13/06/2026 15:23:24,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.05,3.21,3.37
13/06/2026 15:27:50,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.79,3.99,4.19
13/06/2026 15:43:50,Cebolla,Saco,45.0,1.51,1.59,1.67,Kilogramo,1.0,2.85,3.0,3.15
13/06/2026 16:27:57,Choclo,Ciento,40.0,2.95,3.11,3.27,Kilogramo,1.0,4.75,5.0,5.25
13/06/2026 17:23:28,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.28,5.56,5.84
13/06/2026 17:27:09,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.35,3.53,3.71
13/06/2026 17:55:53,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.19,2.31,2.43
13/06/2026 18:21:32,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.17,3.34,3.51
